Company,Domain,Description,Preferred Stage,Preferred Sector
Scalenewsletter,scalenewsletter.co.uk,"SCALE Newsletter provides a weekly newsletter that delivers insights and interviews from leading growth stage founders and investors, focusing on transformative trends and innovations in various industries.",Growth Stage,
Eniac,eniacventures.com,"Eniac Ventures specializes in leading preseed and seed funding rounds for innovative founders who leverage mobile technology to build transformative startups, drawing on the extensive experience of its founders in the entrepreneurial landscape.","Pre-Seed, Seed","AI, Consumer, E-Commerce / Marketplaces"
Timelock Ventures,timelock.ventures,Timelock Ventures is a venture capital and advisory firm that supports early stage startups in the blockchain and financial services sector. The company aims to incentivize intelligent disintermediation and empower end users by identifying disruptive i...,"Pre-Seed, Seed, Early Stage","Blockchain, FinTech"
Anthemis Group,anthemis.com,"Anthemis is a digital financial services firm reinventing finance through strategic investments and advisory services, fostering innovation and equity in the financial system.",,FinTech
Noveus Capital,noveus.vc,Venture capital firm investing in generational shifts and supporting innovative startups.,,"AI, Blockchain, FinTech, Big Data"
Prota Ventures,protaventures.com,"Prota Ventures is a venture building and early stage investment firm with a mission to launch inspiring new ventures and invest in early stage founders. They promote human flourishing by investing holistically in entrepreneurs, believing in generosity,...","Angel, Seed, Early Stage",
Capital Factory,capitalfactory.com,"Capital Factory is the go-to hub for Texas entrepreneurs, offering mentorship, coworking spaces, and funding opportunities to connect startups with essential resources for growth.",,
Insight Partners,insightpartners.com,"Insight Partners is a global software investor that specializes in partnering with high-growth technology, software, and Internet startups and ScaleUp companies, leveraging over 25 years of experience and a portfolio of 750+ investments to support thei...","Series A, Series B, Series C+, Early Stage, Growth Stage","AI, FinTech, Consumer, Enterprise, Big Data, Cloud Computing, Mobility / Transportation"
Presto Ventures,prestoventures.com,"Presto Ventures is a Prague-based VC firm specializing in early-stage B2B software startups and online marketplaces from the broader CEE region. With a focus on pre-seed and seed stage investments, they provide support in sales, marketing, and hiring t...","Pre-Seed, Seed, Early Stage","AI, Cloud Computing, E-Commerce / Marketplaces"
Plug and Play Tech Center,em921.pnptc.com,"Plug and Play Tech Center is the world's largest startup accelerator and VC, connecting entrepreneurs, corporations, and investors globally to drive open innovation and growth for startups.","Seed, Series A, Series B, Early Stage",
DayDream Ventures,daydreamvc.com,DayDream Ventures is a Gen Z-focused venture capital firm investing in innovative startups across multiple industries.,,
Defy.vc,defy.vc,Defy Partners is an early stage venture capital firm that supports authentic founders in building enduring companies by backing exceptional entrepreneurs who defy expectations.,"Angel, Pre-Seed, Seed, Series A, Early Stage",
Flybridge,flybridge.com,"Flybridge is an early stage venture capital firm with over $1 billion under management, partnering with entrepreneurs to build exceptional technology companies.","Angel, Seed, Early Stage","AI, FinTech, Healthcare, Big Data, Cloud Computing, Mobility / Transportation"
Emerald Group,emeraldgroup-inc.com,"Emerald Group specializes in investment and financing within the natural resource sector, focusing on commodity trading and renewable energy solutions, while also developing a complementary ecosystem of media brands to serve as a primary content outlet...",,Climate Tech
Chai Ventures,chai-ventures.com,,,
Point72 Ventures,p72.vc,"Point72 Ventures is a global venture capital firm led by Steven A. Cohen, specializing in fintech, deep tech, and enterprise investments with a selective and outbound approach to support founders from seed stage to IPO.","Seed, Early Stage","FinTech, Enterprise"
Loona Ventures,loonaventures.com,,,
Julian.capital,julian.capital,"Julian Capital is a seed fund that specializes in overhauling customer acquisition strategies, design, and branding for startups. Founded by Julian, a seasoned marketer and investor, the company has a track record of helping thousands of startups grow ...","Angel, Seed, Early Stage",
Human Capital,human.capital,"Human Capital is a venture firm that invests in founders, teams, and startups with ambitious visions. With over $1.3B in total capital committed, they have backed 15 companies before they became unicorns, including Snowflake, Anduril, Livongo, and Brex...","Angel, Seed, Series A, Early Stage",
Everybody Ventures,everybody.ventures,"Everybody Ventures is an early stage venture capital firm investing in startups at the intersection of pop culture, consumer, and technology. They support technology companies serving consumers in areas like fintech, gaming, commerce, and media, offeri...",Early Stage,"FinTech, Consumer, E-Commerce / Marketplaces"
VNTR Capital,cioeu99929.service.vntr.vc,"VNTR Capital is a global investment community and syndicate specializing in fast-growing startups, offering exclusive deal flow and co-investment opportunities with a dynamic community of accomplished peers.",,
LFG Ventures™,letsfg.com,"LFG Ventures is a curated investment syndicate specializing in Seed to Series B companies. Our team comprises Venture Capital and Private Equity Principals, dedicated to supporting and growing innovative startups.","Seed, Series A, Series B",
Chapter One,chapterone.com,"Chapter One is an early stage venture fund focused on helping companies find product market fit. They are seeking protagonists who are eager to embark on the formidable task of inching the world forward. With a focus on web3 products, Chapter One invit...","Angel, Seed, Early Stage",Web3
CV VC,cvvc.com,"WE INVEST IN BLOCKCHAIN. BECAUSE IT IS MORE THAN TECHNOLOGY. The combination of cryptography and decentralization has the potential to boost efficiency and bring down costs across all industrial sectors. Easy access to technology and funding has led to an unprecedented explosion of entrepreneurial creativity, coupled with an output of projects almost too massive to keep up with. We are here to tackle this output, to find, fund and work with the most promising founders and projects in the space - and to help them grow. We invest into all stages of crypto and blockchain development, from incubation to pre-ICO and post-ICO. Because Blockchain is more than just a technology. It is an entire mindset that is set to change the world. www.cvvc.com",,
Dispersion Capital,dispersion.xyz,"Dispersion Capital is an early-stage venture capital firm focused on investing in decentralized infrastructure, aiming to support the development of multi-chain, multi-currency, and multi-platform solutions that facilitate the creation of scalable and ...","Angel, Seed, Early Stage","Web3, DeFi, Blockchain, FinTech"
NextView Ventures,nextviewventures.com,"NextView Ventures is a high conviction, hands-on seed investor company that champions founders redesigning the Everyday Economy. They have offices in Boston and NYC, working with founders across North America. NextView Ventures keeps their deal numbers...","Angel, Seed, Early Stage","Consumer, E-Commerce / Marketplaces"
Craft Ventures,craftventures.com,Craft Ventures is a venture fund focused on supporting founders in building and scaling successful SaaS businesses by providing access to experienced operators and proven strategies.,"Seed, Series A, Early Stage, Growth Stage",Enterprise
Flamingo Capital,,"Led by a team of Miami founders + investors, Flamingo Capital sources top deals based on local roots, provides access to top tier founders across the country that have made their way through Miami and from our deep network of venture capital investors around the world.

We are highly accessible partners, so feel free to connect directly with us. Click below to read our bios and get a feel for our experience in the startup landscape:

Chris Adamo: Former 1800 Flowers.com exec (grew from 500m to 1b), Current Letterhead exec, Highly active angel investor and advisor in over 40+ startups

Adam Garfield : Founder of Speedetab (sold to Wix), current VP at Wix

Will Weinraub: Founder of Live Ninja (sold to IDT), current CEO + founder of On Chain Studios and Cryptoys

We view each LP as an important part of the community. We strive to get to know all of you and engage in 2 way conversations to source/co-syndicate deals, provide value to the founders we invest in, and grow each other's networks. Should you have a founder we should meet, we encourage you to DM us to discuss syndication or have them submit their startup through this link.

This is a true community as we plan to gather once a year in Miami, provide an online community to meet + engage with each other, and offer opportunities (in addition to investing) that can help everyone expand their horizons and network.

We are collaborative by nature and if you bring us an opportunity, we would love to have you as a partner on the syndication across our community and be impactful for the founders we support.

Being based in Miami has opened the doors to an extremely diverse set of founders and investors from all over the world. We plan to share our expansive network, extending access to opportunities that prior were inaccessible.

Join our community: https://angel.co/s/flamingocapital/loz8K",,
Blockchange Ventures,blockchange.vc,Instra Corporation is a global domain registrar specializing in over 300 country domains and advanced Domain Management System for online intellectual property management.,,
Norwest Venture Partners,nvp.com,Norwest Venture Partners is a top Silicon Valley-based venture capital firm managing over $12.5 billion. They invest in a diverse range of sectors and offer essential support for CEOs and founders to scale their businesses.,None,
Norio Ventures,norioventures.com,"Norio Ventures is a company dedicated to increasing the odds of startup success in the fintech and digital asset sectors. They assist early-stage ventures in developing a customer base, launching products, and securing funding. With a global network sp...","Seed, Series A, Early Stage","Crypto, DeFi, Blockchain, FinTech"
Affinity,affinity.co,"Affinity's powerful relationship intelligence enables teams to use their network to find and close more deals. Reduce data entry and become more data driven. Reimagining relationship intelligence. Using patented technology, we help businesses leverage ...",,
Shadow Labs: AEC - CRE,shadow.vc,"Shadow Ventures is a thematic venture capital firm that invests in seed stage ConstructionTech and PropTech companies disrupting the built world. They focus on investing in startups that bring innovation to the built environment, shaping the future of ...","Pre-Seed, Seed",
Nadathur Holdings,nadathur.com,"Nadathur Group is a private equity firm that supports entrepreneurship and scientific research in healthcare. They also focus on neurodevelopmental disabilities, arts, education, poverty alleviation, biodiversity conservation, and women's empowerment. ...","Seed, Series A, Series B, Early Stage, Growth Stage, Late Stage","Healthcare, Biotech / Life Sciences"
Founder Collective,foundercollective.com,"Founder Collective operates as a seed stage venture capital fund dedicated to supporting founders by providing strategic guidance and resources, aiming to create a more aligned investment experience for startups.","Pre-Seed, Seed, Early Stage","FinTech, Consumer, E-Commerce / Marketplaces"
Chaos Ventures,chaosvc.com,"Chaos Ventures is a forward-thinking investment firm focusing on early-stage companies disrupting financial services, healthcare, and consumer industries. With a keen eye on emerging technologies like blockchains, AI & ML, virtual reality, and quantum ...","Pre-Seed, Seed, Early Stage","AI, Blockchain, FinTech, Healthcare, Consumer, Machine Learning"
Solana Ventures,solana.ventures,"Solana Ventures is dedicated to accelerating the growth of the Solana blockchain and its adjacent ecosystems by providing capital to the most promising teams in the crypto space. With a focus on boosting projects on Solana, the company aims to drive in...","Angel, Seed, Series A, Early Stage","Crypto, Blockchain, FinTech"
Kinsley Partners,kinsleypartners.com,"Kinsley Partners is a seed and early stage VC fund that invests in brands for the modern world. They leverage the strengths of their investment principals and founders to maximize results, focusing on specific sub-sectors of the economy to provide valu...","Seed, Early Stage","FinTech, Consumer, E-Commerce / Marketplaces"
15 and Change,15andchange.org,"15 and Change is a venture capital firm led by a PhD student researching NFTs and dad jokes. They invest in life-changing businesses, seeking quality private market performance while using capital as a positive force in the world. Their mission is to f...","Angel, Pre-Seed, Seed, Series A, Early Stage","NFTs, Biotech / Life Sciences"
Felicis Ventures,felicis.com,"Felicis Ventures is a US-based venture capital firm that backs founders building iconic companies and invests in their growth. With a focus on early to growth-stage investments, Felicis has a proven track record of success with over 40 companies valued...","Early Stage, Growth Stage","AI, FinTech, Healthcare, Enterprise, Biotech / Life Sciences"
Empty Set Group,emptysetgroup.com,"Empty Set Group (ESG) is an industry-agnostic, multi-stage fund that advocates for founders who innovate to address inefficiencies while prioritizing environmental sustainability. They focus on understanding individuals before assessing market fit or v...","Seed, Series A, Series B, Early Stage, Growth Stage, Late Stage","FinTech, Consumer, Climate Tech"
Slipstream Investors,slipstreaminvestors.com,"Slipstream Investors invests in top early stage VC funds and their breakout portfolio companies, supporting Venture Capital and Private Equity Principals for innovation and growth.","Pre-Seed, Seed, Early Stage",
Andreessen Horowitz,a16z.com,"Andreessen Horowitz is a venture capital firm that invests in innovative technology startups, supporting entrepreneurs from seed funding to growth stages to foster the development of the future through software and technology.","Seed, Early Stage, Growth Stage","Web3, AI, FinTech, Healthcare, Big Data, Cloud Computing, Cybersecurity, Social Media, E-Commerce / Marketplaces, Insurtech, Mobility / Transportation, Robotics, Space Tech"
Equal Ventures,equal.vc,Equal Ventures is a venture capital and private equity firm focused on bridging the digital divide in the insurance industry. They aim to revolutionize risk selection and analysis in the face of climate change by leveraging innovative approaches and da...,"Seed, Series A, Early Stage, Growth Stage","FinTech, Insurtech, Climate Tech"
Trajectory Capital,trajectorycapital.com,"Trajectory Capital is a venture capital and private equity firm that specializes in controlling and investing in $1-10 million ARR technology and data SaaS companies. With a focus on corporate divestitures and founder-controlled businesses, they work c...","Seed, Series A, Series B, Early Stage, Growth Stage, Late Stage","AI, Enterprise, Big Data, Cloud Computing"
Moderne Ventures,moderneventures.com,"Moderne Ventures is an early-stage venture fund that invests in innovative technology firms transforming the real estate, mortgage, finance, insurance, and home services sectors, while also offering a comprehensive program to enhance participant growth...","Pre-Seed, Seed, Early Stage","FinTech, Insurtech"
Boston Seed Capital,bostonseed.com,"Boston Seed Capital provides seed stage funding specifically for internet-enabled businesses, focusing on both consumer and B2B sectors.","Angel, Seed","Consumer, E-Commerce / Marketplaces"
Tess Ventures,tesshau.com,"Tess Ventures is a global venture capital firm based in Silicon Valley, partnering with exceptional entrepreneurs to create impactful businesses worldwide. Founded by Tess Hau, the company focuses on investing in high-performing startups, deep tech com...",,
SignalRank,signalrank.co,SignalRank: AI-driven private market investor enabling access to ownership in innovative companies and supporting seed managers.,"Angel, Seed, Early Stage","AI, FinTech, E-Commerce / Marketplaces"
The W Fund,wrule.vc,The W Fund is a venture capital firm with a singular focus on aggregating capital and deploying funds to women and diverse-led tech startups. They aim to fuel the startup ecosystem by investing in Seed through Series B companies and supporting underest...,"Seed, Series A, Series B","AI, FinTech, Healthcare, Consumer, E-Commerce / Marketplaces, Mobility / Transportation"
PitchBook Data,pitchbook.com,"PitchBook is a premier data software provider for VC, PE, and M&A professionals, offering a powerful suite of tools to support every stage of a transaction and empower global capital market professionals.",,
Humla Ventures : XBTO,humla.vc,"Humla Ventures is a venture capital fund specializing in blockchain, fintech, and AI-driven companies. They invest in transformative businesses that are reshaping the financial markets ecosystem to be more inclusive and efficient. With a global reach, ...","Angel, Seed, Series A, Early Stage","AI, Blockchain, FinTech"
Starta Ventures,starta.vc,"Starta VC is a venture ecosystem supporting early-stage tech talent globally, promoting inclusivity and diversity in the startup community.","Angel, Seed, Early Stage",
Blockchain Founders Fund,blockchainff.com,"Blockchain Founders Fund (BFF) is a Singapore-based early-stage Venture Capital Fund that invests in top-tier Blockchain startups globally. Their industry-leading go-to-market focused Venture Program aids seasoned and first-time entrepreneurs across key business functions to fast track growth. BFF has scaled many of the leading Blockchain startups and is always looking to connect with exceptional founders across the industry, including tooling, DeFi, and infrastructure.","Angel, Seed, Early Stage","DeFi, Blockchain"
Hard Yaka,hardyaka.com,"Hard Yaka is a venture capital and private equity firm that invests in technologies and companies focused on revolutionizing exchanges between seekers and providers of goods, services, and information. They believe in the power of protocols and are ded...","Seed, Series A, Early Stage, Growth Stage","Blockchain, FinTech, Consumer, E-Commerce / Marketplaces"
Lightbank,lightbank.com,"Lightbank is a venture capital firm that invests in technology-based companies, ranging from enterprise startups to mobile gaming companies. They are known for fueling the future of technology with a unique approach that goes beyond just providing mone...","Seed, Series A, Early Stage, Growth Stage","Consumer, Enterprise, Cloud Computing, Mobility / Transportation"
Twenty Seven Ventures,27v.vc,"Twenty Seven Ventures (27V) is a venture capital fund that focuses on investing in global EdTech and Future of Work startups at the Pre Seed/Seed stage. Led by GP @batraatin, 27V believes in supporting the two greatest human endeavors: learning and lab...","Pre-Seed, Seed",E-Commerce / Marketplaces
Dragonfly,dragonfly.xyz,"Dragonfly is a leading global crypto investment fund that backs and supports crypto projects worldwide. With a focus on cross-border investments, Dragonfly brings over 10 years of experience to help crypto teams achieve global innovation and adoption.",,"Crypto, DeFi, Blockchain"
Afore Capital,afore.vc,"Afore Capital specializes in providing investment support and product expertise to early-stage startups, particularly in the pre-seed phase, by offering substantial funding and guidance to help entrepreneurs build their ideas into successful ventures.","Pre-Seed, Seed, Early Stage",
Magic Fund,magic.fund,"MAGIC Fund is an early stage venture capital fund designed to support founders at the pre-seed and seed stages, focusing on innovative sectors such as mobile banking, no-code software, tech-enabled agriculture, public health data, real estate financing...","Pre-Seed, Seed, Early Stage","FinTech, Healthcare, Cloud Computing"
FunFair Technologies,funfair.io,"FunFair Ventures is a venture capital business that invests in early stage blockchain projects, providing not only capital but also expertise in setting up, developing, and scaling web3 businesses. With a team of experienced advisors, including technol...","Angel, Seed, Early Stage","Web3, Blockchain"
SEED9 - Growth Without Borders,seed9.io,"SEED9 is a global investment syndicate that elevates innovative founders in Africa and Latin America through capital, mentorship, and access to global investors.","Seed, Early Stage, Growth Stage",
Fifth Era,fifthera.com,"Fifth Era is a private investment firm incubating early-stage tech companies with a focus on internet, mobile, social, blockchain, and payments technologies for innovative solutions.","Angel, Seed, Early Stage","Blockchain, Consumer, E-Commerce / Marketplaces"
Brand New Matter,brandnewmatter.com,"Brand New Matter is an early stage venture capital firm that invests in talented teams building disruptive companies. With a focus on partnering with over 100 early stage and emerging ventures, our experienced team, supported by a network of advisors a...","Pre-Seed, Seed, Early Stage",
GFC,globalfounderscapital.com,"Global Founders Capital is a global investment firm that supports outstanding entrepreneurs throughout their entire business lifecycle, from seed funding to IPO, by providing operational resources and backing across various industries and geographies.","Seed, Early Stage, Growth Stage",
Borderless Ventures,borderless.ventures,"Borderless Ventures provides cross border capital and growth advisory, scaling startups and entrepreneurs globally through strategic business development and capital.",,
Greenmeadowventures,greenmeadowventures.com,"Seeding the next generation of tech-enabled consumer & enterprise 
  businesses","Angel, Seed, Early Stage","Consumer, Enterprise"
banklessvc,bankless.vc,"Bankless Ventures is an early stage Web3 Venture fund empowering pioneers to explore the frontier of Web3. With BVCI, a $30M fund, they aim to support innovators in going #bankless.","Angel, Seed, Early Stage",Web3
stacks.ac,stacks.ac,"Bitcoin Frontier Fund is a venture capital and private equity firm that focuses on investing in new enabling technologies and tools for the Bitcoin ecosystem. They support the development of new networks, cryptography, zk rollups/proofs, hardware, mini...","Seed, Series A, Series B, Series C+, Early Stage, Growth Stage","Crypto, Blockchain"
Serena Ventures,serenaventures.com,"Serena Ventures, founded by Serena Williams in 2017, unlocks value for investors, founders, and communities through strategic investments in over 20 companies.",,
Foundation Capital,foundationcap.com,"Foundation Capital is an investment firm that specializes in seed stage investing, particularly in the fintech sector, leveraging a disciplined approach driven by entrepreneurs to support and grow innovative startups.","Angel, Seed",FinTech
Outpost Ventures,outpostventures.com,Outpost Ventures is a deep technology investor that focuses on nurturing innovative dual-use tech companies by facilitating their relationships with the US Government and providing access to a network of strategic partners and resources to help them se...,,Defense Tech
Alchemist Accelerator,em.alchemistaccelerator.com,"Alchemist Accelerator is a top-ranked venture-backed accelerator specializing in early-stage ventures monetizing from enterprises. It offers a 6-month program, seed investment, and corporate services through AlchemistX, including the AXII podcast.","Angel, Seed, Early Stage","Enterprise, E-Commerce / Marketplaces"
Banyan Collective,banyan.gg,"Banyan Collective is an ecosystem-as-a-service company focused on scaling the NEAR Ecosystem in the US. They power NEAR hackathons, run IRL meetups, provide technical education, and support projects from grant to seed and beyond. Their services include...","Pre-Seed, Seed, Early Stage",Blockchain
Breakers,breakers.vc,"Breakers is a pre-seed and seed investing firm with a focus on being friendly, fast, and helpful to startups. They are true generalists investing in various industries, with a preference for software, data, AI/ML, consumer internet, and commerce enable...","Pre-Seed, Seed","AI, Consumer, Big Data, Machine Learning"
courtside ventures,courtsidevc.com,"Courtside Ventures is a leading early stage venture capital fund based in NYC, specializing in sports, lifestyle, gaming, tech, media, and entertainment companies. They invest in passionate entrepreneurs and focus on new sports, platforms, and wellness...","Pre-Seed, Seed, Early Stage",
Soma Capital,somacap.com,"Soma Capital is a venture capital fund founded by entrepreneurs for entrepreneurs, specializing in software investments and backing over 20 unicorns, such as Astranis, Alto, Cruise, and Razorpay, to automate and innovate globally.","Seed, Series A, Early Stage, Growth Stage","AI, FinTech, Healthcare, Consumer, Cloud Computing, Cybersecurity, E-Commerce / Marketplaces, Mobility / Transportation"
Pitango Venture Capital,pitango.com,"Pitango is a leading venture capital firm in Israel, investing in technology entrepreneurs since 1993. They support visionary entrepreneurs and groundbreaking companies through three funds: Pitango First, Growth, and HealthTech, covering a range of sec...",,"AI, FinTech, Healthcare, Cloud Computing, Cybersecurity, Biotech / Life Sciences, Climate Tech, Mobility / Transportation"
Draper University,draperuniversity.com,"Draper University is a leading program in Silicon Valley that redefines higher education by providing an immersive experience for entrepreneurial-minded students to learn, connect, and grow. Founded by Tim Draper, the school offers essential startup sk...",,
Network VC,networkvc.org,"Network VC is a Thesis Accelerator Platform as a Service (PaaS) and Innovation Consulting company that bridges founders and investors, supporting groundbreaking companies globally with fund raising services and mentorship.",,
Astral Ventures,astralventures.org,Astral Ventures is a pioneering crypto venture studio dedicated to fostering innovation in the blockchain space.,,"Crypto, Blockchain"
JourneyOne Ventures,journeyone.vc,JourneyOne Ventures is a woman and minority-owned fund investing in frontier wellness industries to break stigmas and provide innovative solutions for personalized care.,,"Healthcare, Biotech / Life Sciences"
Family VC,familyvc.com,"Family VC fosters a collaborative community of family offices, angel investors, and corporate executives, facilitating the exchange of investment strategies and deal flow while providing access to industry insights, events, and co-investment opportunit...",,
BECO Capital,becocapital.com,"BECO Capital, a pioneering VC firm since 2012, invests in early-stage tech startups in MENA and beyond, supporting founders with strategy and funding to shape the industry.","Angel, Seed, Early Stage","Enterprise, E-Commerce / Marketplaces"
Valhalla Ventures,valhalla.ventures,"Valhalla Ventures backs visionaries building enduring moats in gaming, blockchain, deep tech, and more.","Seed, Series A, Series B, Early Stage, Growth Stage",Blockchain
Champion Venture Partners,championpartners.co,Champion Venture Partners (CVP) is revolutionizing sports business investments by creating a network of interconnected businesses that redefine the growth and accessibility of sports-related investments. With a focus on strategic capital and unparallel...,,
Draper Startup House,draperstartuphouse.com,"Draper Startup House is a global business hub and hostel network dedicated to connecting, inspiring, and empowering entrepreneurs worldwide. With locations in 18 countries and a mission to expand to 100 countries by 2030, they provide coworking spaces,...",,E-Commerce / Marketplaces
First Row Partners,firstrowpartners.vc,"First Row Partners is a women-led VC firm in Seattle, investing in pre-seed tech startups that empower individuals through technology.",Pre-Seed,
Lubbock Angels,lubbockangelnetwork.com,"Lubbock Angel Network focuses on providing seed and support capital to innovative startups in West Texas and beyond, aiming to foster local economic growth through strategic partnerships.","Angel, Seed","FinTech, Healthcare, Consumer, E-Commerce / Marketplaces, Insurtech"
Eric Galen,ericgalen.com,"Galen Law is a dynamic company led by Eric Galen, a seasoned lawyer, entrepreneur, and dealmaker. With expertise in Web3, entertainment, and ventures, Eric has a proven track record of turning visions into realities. His impressive portfolio includes l...",,Web3
RTP Ventures,rtp.vc,"RTP Global is a global venture capital firm that focuses on early-stage investments in technology-driven startups, particularly in the software sector, including cloud computing, internet infrastructure, and SaaS technologies.","Pre-Seed, Seed, Early Stage","Enterprise, Cloud Computing"
Founders Den,foundersden.com,"Founders Den is a shared office space and private club in San Francisco, catering to startups, investors, and entrepreneurs. It has housed notable companies like August, Docker, and Plaid, along with top investors such as Spark Capital and Norwest Vent...",,
Global Coin Research,globalcoinresearch.com,"Global Coin Research (GCR) - Leading Web3 DAO for sourcing, vetting, and funding Pre Seed to Series A opportunities. Providing critical feedback and design partnerships to startups.","Pre-Seed, Series A","Web3, Crypto, Blockchain"
Coelius Capital,coelius.vc,"Coelius Capital provides early-stage capital for technology startups, specializing in B2B and B2B2C companies with unique ideas. They invest in ventures that challenge the norm and drive innovation, offering checks from $200k to $1m.","Seed, Series A, Early Stage","AI, FinTech, Big Data, Cloud Computing, Cybersecurity, Collaboration / Productivity Tools"
Blockwall Management,blockwall.capital,"Blockwall Management GmbH is a thesis-driven, sector-focused, and independent venture capital platform based in Frankfurt, Germany. As the first BaFin registered crypto fund in Germany, Blockwall funds the development of Web3 and decentralized technolo...","Seed, Series A, Early Stage, Growth Stage","Web3, Crypto, Blockchain"
Notion,afridi.io,"Ali Afridi is a Principal at Equal Ventures, a seed stage VC firm in NYC with a thesis-driven approach to investing and occasional incubation. Previously, he was part of the investment team at Lightbank, a Chicago-based VC firm that led seed rounds in ...","Pre-Seed, Seed, Early Stage","AI, FinTech, Healthcare, E-Commerce / Marketplaces"
Magnify Ventures,magnify.vc,"Magnify invests in innovative technology firms that aim to enhance the quality of life, work, and care for modern families, focusing on solutions that address challenges from childbirth to end-of-life care.","Pre-Seed, Seed, Series A, Early Stage","Healthcare, Biotech / Life Sciences"
StageOne Ventures,stageonevc.com,"StageOne Ventures leads investments in Israeli entrepreneurs, focusing on early-stage transformative deep tech startups in enterprise and communication software fields, providing financing, guidance, and support to build exceptional enterprises.","Angel, Seed, Early Stage",Enterprise
CV Labs,cvlabs.com,"CV Labs is the heartbeat of Crypto Valley, driving the fourth industrial revolution by changing the way the world works, lives, interacts, and transacts. As an international ecosystem builder of blockchain venture capital firm CV VC, CV Labs is at the ...",,"Crypto, Blockchain"
Black Dog Venture Partners,blackdogventurepartners.com,"Black Dog Venture Partners specializes in providing consulting services in public relations, digital marketing, and business development, while also focusing on angel and venture capital investment strategies.",Angel,
Revolution Tech,revolutiontech.com.au,"Revolution Tech provides a free weekly market update that simplifies complex information about the rapidly evolving technology landscape, reflecting their journey of experimentation and engagement in the digital realm.",,
Style House,stylehouse.com,"Synastry Capital is a cross-sector impact vehicle providing business consulting and services in personal brand theory, strategy, advisory, and investing.",,
Node Capital,node.capital,"Node Capital is a cryptocurrency fund that supports the builders of the distributed economy by providing services such as designing coin economics, CTO support, cryptography expertise, running nodes, and offering liquidity. The company plays a crucial ...","Seed, Series A, Early Stage, Growth Stage","Crypto, DeFi, Blockchain"
NOEMIS Ventures,noemisventures.com,Founder & Managing Partner at NOEMIS Ventures,,
Tess Ventures,tessventures.com,"Tess Ventures is a global venture capital firm based in Silicon Valley, partnering with exceptional entrepreneurs to create impactful businesses worldwide. Founded by Tess Hau, the company focuses on investing in high-performing startups, deep tech com...",,
Initial Capital,initialcapital.com,"Initial Capital serves as an investor and accelerator for seed and early-stage technology firms, primarily focusing on the gaming sector, consumer services, and technology enablers, while partnering with exceptional entrepreneurs to cultivate global ma...","Seed, Early Stage","AI, Consumer"
MASTERKEY,masterkey.vc,"MASTERKEY Venture Capital is a top blockchain and crypto investment fund supporting crypto expansion builders across various segments, from L1 protocols to deep crypto technologies.","Seed, Series A, Early Stage, Growth Stage","Crypto, Blockchain"
Space Capital,spacecapital.com,"Space Capital is an early-stage venture capital fund that specializes in investing in innovative space technology startups, aiming to unlock the potential value of space technology stacks and contribute to the future of humanity.","Angel, Seed, Early Stage",Space Tech
Aumni,aumni.fund,"Aumni provides intelligent investment analytics for private capital markets, offering instant access to reliable financial and legal insights through a SaaS platform.",,"AI, FinTech, Enterprise, Big Data, Cloud Computing"
Cowboy Ventures,cowboy.vc,"Cowboy Ventures is an early stage venture capital fund that aims to help founders build generational companies by providing support, connections, and expertise. They invest in innovative pre-seed and seed stage tech founders, focusing on products that ...","Pre-Seed, Seed, Early Stage",
Accolade Partners,accoladepartners.com,"Accolade Partners is an investment firm dedicated to seeking significant long term capital appreciation through investments in top tier venture capital and growth equity funds on behalf of endowments, foundations, institutions, family offices, and indi...",,
Decasonic,decasonic.com,"Decasonic is a venture and digital assets fund specializing in building blockchain innovation. With decades of experience in tech investing and operations, we support blockchain founders in accelerating product market fit and scaling growth. Since 2013...","Seed, Series A, Series B, Early Stage, Growth Stage, Late Stage",Blockchain
rockawayx,rockawayx.com,"Rockaway X is a blockchain-focused venture capital fund that supports Web3 projects through venture investing, engineering, and liquidity provisioning. They back early-stage startups with more than just capital, offering developer-focused conferences, ...","Angel, Seed, Early Stage","Web3, Blockchain"
DataPower Ventures,datapower.vc,"DataPower Ventures invests in the exponential power of data to transform business. They specialize in venture capital, angel investing, data science, developer tools, machine learning, data automation, data-intensive applications, human-augmented workf...","Angel, Seed, Series A, Early Stage","AI, Enterprise, Big Data, Machine Learning"
Polymorphic Capital,polymorphic.capital,Polymorphic Capital is a venture capital firm that invests globally in teams developing practical applications and use cases built on decentralized protocols within the Web3 infrastructure.,"Seed, Series A, Early Stage","Web3, Crypto, Blockchain"
Delphi Digital,delphidigital.io,"Delphi Digital provides institutional-grade research and analysis focused on digital assets and macroeconomic trends, empowering investors and builders with actionable insights to enhance their decision-making in the cryptocurrency market.",,"Crypto, DeFi, Blockchain"
Savage Advisory,savageadvisory.com,"Savage Advisory is a venture advisory firm that partners with founders to provide strategic advice and creative solutions from ideation through scale. They offer services in financial planning, fundraising advisory, business strategy, and support for v...","Pre-Seed, Seed, Early Stage, Growth Stage",
Brooklyn Bridge Ventures,brooklynbridge.vc,"Brooklyn Bridge Ventures is a pioneering seed stage investment fund in Brooklyn, NY, managing $23 million across two funds. It invests in diverse NYC companies at pre-revenue stages, fostering a vibrant community of founders and professionals.","Angel, Pre-Seed, Seed",
